id	titre	société	portail	tjm	remote	durée	score	statut	date_eval	date_maj	action	source	url
011	C# Developer Back End	?	free-work	500-620	Full remote (France)	36 mois	C	évalué-C	2026-06-29	2026-06-29	Postuler si pipeline vide — vérifier remote + stack détails	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-front-end-javascript-node-react-angular-vue/c-developer-back-end-3
012	Senior Software Engineer	Kalytech Consulting	collective.work	530	Hybride (Bruxelles)	?	D	évalué-D	2026-07-03	2026-07-03	Passer — TJM sous seuil, mission internationale	issu email Gmail	https://www.collective.work/jobs/en/senior-software-engineer-ijks
013	Consultant Sécurité Applicative	Ecocea	collective.work	?	Hybride (Paris)	?	D	évalué-D	2026-07-03	2026-07-03	Passer — stack hors profil (PHP/Java/Python)	issu email Gmail	https://www.collective.work/jobs/fr/consultant-securite-applicative-iq4w
014	DevOps AWS Kubernetes	ALXDR	collective.work	?	Hybride (Paris)	2-4 semaines	D	évalué-D	2026-07-02	2026-07-02	Passer — stack hors profil, mission trop courte	issu email Gmail	https://www.collective.work/jobs/fr/devops-aws-kubernetes-r77e
015	Architecte Logiciel & Infrastructure (H/F)	SOREDI-Group	collective.work	600-650	Hybride (Courbevoie 92)	2-4 semaines	D	évalué-D	2026-07-02	2026-07-02	Passer — stack Java, pas de .NET	issu email Gmail	https://www.collective.work/jobs/fr/architecte-logiciel-and-infrastructure-hf-w0b7
016	Développeur .Net Angular	Next (client banque)	collective.work	?	Hybride (Paris)	2-4 semaines	C	évalué-C	2026-07-02	2026-07-02	Postuler si pipeline vide — négocier TJM ≥ 600	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-angular-tki6
017	Ingénieur Développement C# / .NET WPF (H/F)	Celad (client imagerie médicale)	collective.work	?	Hybride présentiel majoritaire (Créteil)	2-4 semaines	C	évalué-C	2026-07-01	2026-07-01	Postuler si pipeline vide — négocier remote + TJM	issu email Gmail	https://www.collective.work/jobs/fr/ingenieur-developpement-c-net-wpf-hf-zlgs
018	LEADER TECHNIQUE	Jissen	collective.work	550	Hybride (Nantes)	4-8 semaines	D	évalué-D	2026-07-01	2026-07-01	Passer — stack Java, TJM sous seuil lead-dev	issu email Gmail	https://www.collective.work/jobs/fr/leader-technique-xeyq
019	Développeur(euse) .NET Back-End Senior(e)	PROPULSE IT (client e-commerce)	collective.work	750	Hybride (Paris)	3 mois renouvelables	C	abandonné	2026-07-01	2026-08-16	Sans suite — aucun canal de relance sur Collective (statut passif, pas de messagerie), 46j sans réponse	issu email Gmail — candidature envoyée via Collective (TJM 750, CV à jour + réalisations BetClic/Decathlon Pro)	https://www.collective.work/jobs/fr/developpeureuse-net-back-end-seniore-fyef
020	Product Owner technique	Inetum	collective.work	480	Hybride (Nantes)	?	D	évalué-D	2026-07-01	2026-07-01	Passer — TJM sous seuil, rôle PO hors profil hands-on	issu email Gmail	https://www.collective.work/jobs/fr/product-owner-technique-qlty
021	Pentester Senior / Ingénieur Cybersécurité Offensive	Anderson RH	collective.work	?	Hybride 2j remote (Paris)	?	D	évalué-D	2026-07-01	2026-07-01	Passer — spécialisation offensive hors profil DevSecOps	issu email Gmail	https://www.collective.work/jobs/fr/pentester-senior-ingenieur-cybersecurite-offensive-chhe
022	Senior Platform Engineer - Backend Focused	Easypartner	collective.work	530	Sur site 100% (Bordeaux)	?	F	évalué-F	2026-06-30	2026-06-30	Passer — triple deal breaker (site/TJM/stack)	issu email Gmail	https://www.collective.work/jobs/fr/senior-platform-engineer-backend-focused-bordeaux-hf-cun9
023	Développeur .NET H/F	Open SAS	indeed	?	? (Villeneuve-d'Ascq 59)	?	D	évalué-D	2026-06-30	2026-06-30	Passer — probable CDI, pas de TJM/freelance mentionné	issu email Gmail
024	DevSecOps sur Lille	? (via Freelance Informatique)	email	?	? (Lille)	12 mois renouvelables	C	évalué-C	2026-06-30	2026-06-30	Contacter l'intermédiaire — meilleur potentiel stratégique (géo+durée), infos à obtenir	issu email Gmail
025	Référent technique/Coach .NET	Visian	collective	700	Hybride (Paris)	2-4 semaines	C	évalué-C	2026-07-07	2026-07-07	Postuler si pipeline vide — durée très courte	issu email Gmail	https://www.collective.work/jobs/fr/referent-techniquecoach-net-gyqp
026	Développeur IT Quant C# / .NET – Pricing, XVA & Finance de Marché	Inspiire (intermédiaire)	collective	≤600	Hybride 3j sur site (Paris)	12 mois renouvelable	C	évalué-C	2026-07-07	2026-07-07	Passer — expertise finance de marché hors profil	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-it-quant-c-net-pricing-xva-and-finance-de-marche-v42w
027	Développeur .net senior backend - Azure - Freelance	Anthelion (intermédiaire)	collective	?	Hybride 2j sur site (Paris)	?	C	évalué-C	2026-07-07	2026-07-07	Postuler si pipeline vide — TJM et client final à obtenir	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-senior-backend-azure-freelance-xvgf
028	Tech Lead DevOps .NET (F/H)	BPCE Solutions Informatiques	indeed	?	? (Dijon 21)	?	D	évalué-D	2026-07-07	2026-07-07	Passer — CDI (pas de TJM/freelance), site hors Hauts-de-France	issu email Gmail
029	Développeur/se Full Stack orienté produits / solutions Saas	NUMERICOACH	indeed	?	Télétravail (Lille 59)	?	D	évalué-D	2026-07-07	2026-07-07	Passer — CDI (pas de TJM/freelance), rôle Full Stack hors profil	issu email Gmail
030	Embedded Electronics Engineer	OOKIA	collective	?	?	?	F	évalué-F	2026-07-07	2026-07-07	Passer — rôle hors profil (électronique embarquée)	issu email Gmail	https://www.collective.work/jobs/fr/embedded-electronics-engineer-d7mq
031	Chef de Projet Mainframe H/F	collectivite (banque)	hellowork	550	Hybride (Paris 75)	?	F	évalué-F	2026-07-08	2026-07-08	Passer — TJM sous seuil + stack mainframe hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81007527.html
032	Tech Lead IA Générative - Agentique H/F	collectivite	hellowork	450-550	Hybride (Paris 75)	3 mois (cycles courts)	D	évalué-D	2026-07-08	2026-07-08	Passer — stack Python/LangChain sans .NET, TJM très sous seuil ia-llm	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81017578.html
033	Chef de Projet IT H/F	DCS Easyware	hellowork	?	Sur site (Saint-Pierre-des-Corps 37)	?	F	évalué-F	2026-07-08	2026-07-08	Passer — 100% site hors région + rôle PMO hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80595820.html
034	Ingénieur OPS	Visian	collective	?	Hybride (Paris)	2-4 semaines	F	évalué-F	2026-07-08	2026-07-08	Passer — stack DevOps/infra pur, aucun C#/.NET	issu email Gmail	https://www.collective.work/jobs/fr/ingenieur-ops-0zae
035	Chef de Projet Informatique H/F	IT MATES	hellowork	500-600	Sur site (Aix-en-Provence 13)	?	F	évalué-F	2026-07-08	2026-07-08	Passer — 100% site hors région + rôle pilotage tests hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80996933.html
036	Tech Lead H/F	collectivite	hellowork	580	Hybride (Paris 75)	?	D	évalué-D	2026-07-08	2026-07-08	Passer — TJM sous seuil + stack Java, pas de .NET	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81024064.html
037	Chef de Projet IT H/F	collectivite	hellowork	520	Hybride (Meudon 92)	4-8 semaines	F	évalué-F	2026-07-08	2026-07-08	Passer — TJM sous seuil + rôle PMO hors profil	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80757207.html
038	Tech Lead Back-End Java - Kafka - Supply Chain H/F	collectivite (grande enseigne retail)	hellowork	?	Hybride (Lille 59)	?	F	évalué-F	2026-07-08	2026-07-08	Passer — stack Java hors profil + démarrage urgent incompatible Natixis	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/80529476.html
039	Développeur Full Stack .NET / React	Nigel Frank (intermédiaire)	collective	?	Hybride (Paris)	4-8 semaines	C	évalué-C	2026-07-10	2026-07-10	Postuler si pipeline vide — TJM/durée à négocier	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-full-stack-net-react-cppp
040	Développeur Backend .NET Core (H/F)	ODHCOM - Freelancerepublik	free-work	400-540	Hybride 3j site (Boulogne-Billancourt)	12 mois renouvelable	F	évalué-F	2026-07-10	2026-07-10	Passer — TJM deal breaker + 3j/sem hors région	issu email Gmail	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-backend-net-core-h-f-2
041	Développeur C++ / C# .NET - Grand groupe	Anderson RH (intermédiaire)	collective	?	Hybride 2j (Nantes)	?	D	évalué-D	2026-07-10	2026-07-10	Négocier — signal maintenance pure + TJM/client final à obtenir	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-c-c-net-grand-groupe-q4dp
042	Développeur Senior .NET Full Stack | .NET 10 | ASP.NET Core	Wikeys	collective	?	Hybride 2j site + télétravail depuis Belgique (Bruxelles)	?	C	évalué-C	2026-07-10	2026-07-10	Postuler si pipeline vide — présence quasi continue en Belgique requise (pas hybride commutable), vérifier A1 + logement avant TJM	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-net-full-stack-or-net-10-or-aspnet-core-or-bruxelles-h0sq
—	Développeur .net senior backend - Azure - Freelance	Anthelion (intermédiaire)	collective	?	Hybride 2j (Paris)	?	—	doublon (#027)	2026-07-10	2026-07-10	Skip — déjà évalué (#027, même titre/société)	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-senior-backend-azure-freelance-3dtg
044	Développeur .NET (F/H) — client Assurance	Celad	collective	430-470	Sur site 100% (Paris)	?	F	évalué-F	2026-07-10	2026-07-10	Passer — TJM deal breaker + 100% site hors région	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-fh-j7fm
045	Dev C# Python	Vorstone	collective	?	Hybride (Nantes)	?	C	évalué-C	2026-07-10	2026-07-10	Postuler si pipeline vide — secteur bancaire, TJM/durée à obtenir	issu email Gmail	https://www.collective.work/jobs/fr/dev-c-python-zcw9
046	Développeur(se) Full Stack / Architecte Applicatif (H/F)	Ness Technologies	collective	?	Sur site 100% (Roissy-en-France)	2-4 semaines	F	évalué-F	2026-07-10	2026-07-10	Passer — 100% site + mission trop courte + stack Go dominant	issu email Gmail	https://www.collective.work/jobs/fr/developpeurse-full-stack-architecte-applicatif-hf-76yz
047	Tech Lead .NET Senior - Grand Acteur du Retail Digital Factory H/F	? (retail, via HelloWork)	hellowork	?	Hybride (Ivry-sur-Seine 94)	?	B	clos (annonce expirée)	2026-07-10	2026-08-21	Annonce Hellowork retirée (HTTP 410) au 2026-08-21, jamais postulée. Archiver.	issu email Gmail	https://www.hellowork.com/fr-fr/emplois/81064976.html
048	Tech Lead C#/.NET Secteur Financier : Banque - Finance - Assurance	Anderson RH (intermédiaire)	collective	?	Hybride 2j remote (Paris)	?	C	évalué-C	2026-07-19	2026-07-19	Pipeline non vide (#019 en attente) — ne pas postuler maintenant ; négocier remote + TJM si repositionné	issu email Gmail	https://www.collective.work/jobs/fr/tech-lead-cnet-secteur-financier-banque-finance-assurance-0wcl
049	Developpeur .NET et support N1	PROPULSE IT (intermédiaire)	collective	?	Hybride (Paris)	2-4 semaines	D	évalué-D	2026-07-19	2026-07-19	Passer — mission trop courte + stack WinForms legacy + rôle support N1 hors profil Tech Lead	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-et-support-n1-4vp0
050	Développeur Quant IT C# - Trading	Visian (client final)	collective	?	Hybride (La Défense, Paris)	2-4 semaines	C	évalué-C	2026-07-19	2026-07-19	Passer — expertise quant/finance de marché hors profil (cf. #026), durée trop courte	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-quant-it-c-trading-xb5u
051	IT QUANT C#	OPTIMA Advisory (intermédiaire)	collective	?	Hybride (Paris)	2-4 semaines	D	évalué-D	2026-07-19	2026-07-19	Passer — expertise quant finance de marché hors profil, ESN opaque	issu email Gmail	https://www.collective.work/jobs/fr/it-quant-c-xhvv
052	Développeur Fullstack .NET/VueJS	Tenth Revolution Group (intermédiaire)	collective	?	Hybride (Paris)	?	C	évalué-C	2026-07-19	2026-07-19	Pipeline non vide — ne pas postuler maintenant ; TJM à négocier si repositionné	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-fullstack-netvuejs-mxz6
053	Dev .Net sénior	Suricate IT (intermédiaire, client banque d'affaires)	collective	?	Hybride 2j remote oblig. (Paris)	3 ans	B	évalué-B	2026-07-19	2026-08-21	Postuler — excellent match stack (.NET 10, Azure/AWS) + durée exceptionnelle (3 ans) ; négocier remote et TJM | Vérif 2026-08-21 : annonce toujours en ligne.	issu email Gmail	https://www.collective.work/jobs/fr/dev-net-senior-yhvp
054	Développeur Senior Full Stack .NET / React	Tenth Revolution Group (intermédiaire)	collective	450-500	Hybride (Paris)	?	D	évalué-D	2026-07-19	2026-07-19	Passer — TJM sous seuil minimum (450-500€/j < 600€/j)	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-full-stack-net-react-lxf3
055	Tech Lead .Net Backend	collectivite	hellowork	?	? (Nantes 44)	?	C	évalué-C (données limitées)	2026-07-19	2026-07-19	Pipeline non vide + données insuffisantes (pas de TJM/remote/client) — vérifier lien direct avant décision	issu email Gmail (digest)
056	Tech Lead .Net Expert	collectivite	hellowork	?	? (Châtillon 92)	?	C	évalué-C (données limitées)	2026-07-19	2026-07-19	Pipeline non vide + données insuffisantes — vérifier lien direct avant décision	issu email Gmail (digest)
057	Tech Lead .Net	collectivite	hellowork	?	? (Paris 75)	?	C	évalué-C (données limitées)	2026-07-19	2026-07-19	Pipeline non vide + données insuffisantes — vérifier lien direct avant décision	issu email Gmail (digest)
058	Tech Lead .Net - Fullstack - Application Métier Critique - Idf	collectivite	hellowork	?	? (Paris 75)	?	C	évalué-C (données limitées)	2026-07-19	2026-07-19	Pipeline non vide + données insuffisantes — vérifier lien direct avant décision	issu email Gmail (digest)
059	Développeur Microsoft BI / Power BI / SQL Server H/F	?	free-work	450-650	? (Paris)	36 mois	F	évalué-F	2026-07-19	2026-07-19	Passer — stack BI/Power BI hors profil (pas de C#/.NET dominant)	issu email Gmail
060	Développeur Senior Fullstack .NET Core - Angular - Comptabilité	?	free-work	300-600	? (France)	24 mois	D	évalué-D	2026-07-19	2026-07-19	Passer — TJM plancher très sous seuil (300€), domaine comptabilité niche	issu email Gmail
061	Développeur Fullstack TypeScript	WebexpR	indeed	?	Télétravail	?	F	évalué-F	2026-07-19	2026-07-19	Passer — CDI (pas de TJM/freelance), stack TypeScript hors profil	issu email Gmail
062	Développeur(se) Senior C# .NET -Services Financiers -Lille	Sopra Steria	indeed	?	? (Villeneuve-d'Ascq 59)	?	F	évalué-F	2026-07-19	2026-07-19	Passer — CDI (pas de TJM/freelance) malgré stack C#/.NET compatible	issu email Gmail
063	Tech Lead Data & Architecture des Flux H/F	Groupe Advitam	indeed	?	? (Saint-Laurent-Blangy 62)	?	F	évalué-F	2026-07-19	2026-07-19	Passer — CDI (pas de TJM/freelance), stack Data/Flux probable non-.NET	issu email Gmail
064	Microsoft Azure DevOps Administrator / .NET Developer (French Speaker)	Taleo Consulting	linkedin	?	? (Luxembourg)	?	D	évalué-D	2026-07-26	2026-07-26	Répondre avec questions de clarification (CDI ou freelance ? TJM ? client final ?) avant CV	issu message LinkedIn
065	Développeur C# sénior H/F	SAS Conex	indeed	? (CDI)	Sur site probable, <10km domicile	CDI	C	évalué-C (indicatif, CDI)	2026-07-26	2026-07-26	Ne pas candidater au CDI — prospecter directement pour proposer une collaboration freelance	issu email relance Indeed	https://fr.indeed.com/viewjob?jk=fee8fcbde256c395
066	DPA Analyst Developer (.NET C# / Angular)	AMM Enterprise GmbH	linkedin	?	? (Coudekerque/Dunkerque)	?	D	réponse envoyée — attente clarifications	2026-07-27	2026-07-30	Réponse envoyée (TJM, remote, client final, niveau Lead vs Dev) — relancer si silence	issu email Gmail (auto-transfert InMail)
067	Ingénieur de production IT H/F	AIRRIA	indeed	? (CDI)	? (Lille 59)	CDI	F	évalué-F	2026-07-27	2026-07-27	Passer — CDI + rôle exploitation hors profil	issu email Gmail
068	Ingénieur Cloud Azure sur Béthune	Consultime (intermédiaire)	email	?	Site probable (Béthune)	3 mois renouvelables	D	évalué-D	2026-07-27	2026-07-27	Passer — stack infra/ops pur, aucun C#/.NET	issu email Gmail (auto-transfert)
069	Tech Lead Spark Scala H/F	Jane Hope	hellowork	500	? (Nantes 44)	?	F	évalué-F	2026-07-27	2026-07-27	Passer — stack Spark/Scala hors profil + TJM sous seuil	issu email Gmail
070	Développeur Senior C# / .NET – Migration Kubernetes	Freelance.com (intermédiaire)	collective	?	Hybride 3j site (Versailles 78)	?	C	évalué-C	2026-07-27	2026-07-27	Négocier avant — probable même mission que #071 (2 intermédiaires), ne postuler que sur 1 canal	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-c-net-migration-kubernetes-kycf
071	Développeur Senior .NET/C# & Kubernetes – Migration d'architecture	Raedy (intermédiaire)	collective	?	Hybride site (Le Pecq 78)	?	C	évalué-C	2026-07-27	2026-07-27	Négocier avant — probable même mission que #070 (2 intermédiaires), ne postuler que sur 1 canal	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-netc-and-kubernetes-migration-darchitecture-czin
072	Tech Lead C# - .Net H/F	collectivite	hellowork	?	? (offre expirée)	?	C	évalué-C (données limitées)	2026-07-27	2026-07-27	Passer — offre expirée, données insuffisantes	issu email Gmail (digest)	https://www.hellowork.com/fr-fr/emplois/80551182.html
073	Développeur(euse) .NET Back-end Senior(e)	PROPULSE IT	collective	?	Hybride (Paris)	3 mois renouvelables	C	évalué-C	2026-07-27	2026-07-27	Vérifier statut #019 (déjà postulée 07-01) avant nouvel envoi — probable doublon fonctionnel	issu email Gmail	https://www.collective.work/jobs/fr/developpeureuse-net-back-end-seniore-ldmb
074	Senior Full-Stack Engineer TypeScript / NestJS / React	Bessand Freelances	collective	600	Hybride 3j site (Paris 11e)	2 mois	F	évalué-F	2026-07-27	2026-07-27	Passer — stack hors profil cœur .NET	issu email Gmail	https://www.collective.work/jobs/fr/senior-full-stack-engineer-typescript-nestjs-react-freelance-kq0g
075	Senior Technical Lead IS Non-Life Distributed Backend	LeHibou Belgique	collective	?	Hybride (Bruxelles)	?	C	évalué-C	2026-07-27	2026-07-27	Négocier avant — clarifier TJM et nature du contrat (freelance vs salarié)	issu email Gmail	https://www.collective.work/jobs/fr/senior-technical-lead-is-non-life-distributed-backend-ikfm
076	Tech Lead .Net Expert H/F	collectivite	hellowork	?	? (Châtillon 92, expirée)	?	C	évalué-C (données limitées)	2026-07-27	2026-07-27	Passer — offre expirée, aucune donnée exploitable	issu email Gmail (digest)
077	Développeur .Net Groovy Gitlab CI H/F	collectivite	hellowork	?	? (Paris 75, expirée)	?	C	évalué-C (données limitées)	2026-07-27	2026-07-27	Passer — offre expirée, aucune donnée exploitable	issu email Gmail (digest)
078	Ingénieur de Production / Exploitation (Windows + Control-M)	TLTI	collective	?	Sur site 100% (Paris)	?	F	évalué-F	2026-07-27	2026-07-27	Passer — triple hors profil (site/rôle infra)	issu email Gmail	https://www.collective.work/jobs/fr/ingenieur-de-production-exploitation-windows-control-m-j4v1
079	Expert Tech Lead .NET (réel : maintenance .NET/Groovy/GitLab CI)	Unitech Solutions	collective	480-500	Hybride (Paris 75002)	2-4 semaines	D	évalué-D	2026-07-27	2026-07-27	Passer — TJM deal breaker + écart titre/contenu réel	issu email Gmail	https://www.collective.work/jobs/fr/expert-tech-lead-net-2nvt
080	Développeur .NET Senior — Pratiques IA	Top Profil	collective	?	Hybride (?)	?	C	évalué-C (données limitées)	2026-07-27	2026-07-27	Postuler si pipeline vide — obtenir TJM/durée/client final	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-net-senior-pratiques-ia-e6o0
081	Tech Lead .Net - Aws H/F	collectivite	hellowork	?	? (Paris 75, expirée)	?	C	évalué-C	2026-07-27	2026-07-27	Postuler si pipeline vide — vérifier si annonce toujours active	issu email Gmail (digest)	https://www.hellowork.com/fr-fr/emplois/81485491.html
082	N - NATIXIS - RMR - CANOPY EXPO DEV - Développeur Fonctionnel	Natixis (via Winflash)	collective	400	Sur site 100% (Paris)	?	D	évalué-D	2026-07-27	2026-07-27	Passer — TJM+site deal breaker ; ⚠️ conflit d'intérêt potentiel (client actuel Nicolas)	issu email Gmail	https://www.collective.work/jobs/fr/n-natixis-rmr-canopy-expo-dev-developpeur-fonctionnel-6-9-ans-sh6w
083	Développeur senior C# / .NET – ASP.NET Core (H/F) — Modernisation & migration documentaire	Hoxton Partners (intermédiaire)	collective	?	Hybride 2j site (Lille)	6-12 mois	B	évalué-B	2026-07-27	2026-08-21	Postuler en priorité — négocier TJM ≥650-700 + client final | Vérif 2026-08-21 : annonce toujours en ligne.	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-c-net-aspnet-core-hf-pxcd
084	Tech Lead Full Stack	Ntico Technology	indeed	? (CDI)	Site probable (Lille 59)	CDI	—	évalué (indicatif, CDI)	2026-07-27	2026-07-27	Ne pas candidater au CDI — vérifier proximité domicile puis prospecter en freelance	issu email Gmail
085	Tech Lead .NET - AWS H/F	FreelanceRepublik	hellowork	650	Hybride 2j site (Paris/IDF)	3 mois renouvelable x3	B	évalué-B	2026-07-27	2026-08-21	Postuler en priorité — négocier TJM ≥700 + client final | Vérif 2026-08-21 : annonce toujours en ligne.	issu email Gmail (digest)	https://www.hellowork.com/fr-fr/emplois/81671315.html
086	Fullstack Software Engineer	ChapsVision	indeed	?	Télétravail partiel (Lille 59)	?	F	évalué-F	2026-08-02	2026-08-02	Passer — stack non identifiée (probable non-.NET), CDI (pas de TJM/freelance)	issu email Gmail	
087	Lead développeur Node.js H/F	NEXTON	indeed	?	? (Lille 59)	CDI	F	évalué-F	2026-08-02	2026-08-02	Passer — stack Node.js hors profil, CDI	issu email Gmail	
088	Lead Technique / Développeur Senior .NET - Freelance	LittleBig Connection (Mantu)	collective	?	?	?	C	évalué-C (données limitées)	2026-08-02	2026-08-02	Postuler si pipeline vide — obtenir TJM/remote/durée/client final avant de s'engager	issu email Gmail	https://www.collective.work/jobs/fr/lead-technique-developpeur-senior-net-freelance-wzgw
090	Ingénieur Senior Azure (Observabilité Azure et CRM)	?	free-work	600-750	? (Paris)	12 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — rôle Azure/observabilité, pas de développement C#/.NET	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/administrateur-applicatif-erp-crm-sirh/ingenieur-senior-azure-specialiste-observabilite-azure-et-crm-1
091	Développeur Sénior .NET / Lead Tech	?	free-work	500-560	? (Paris)	12 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — TJM sous seuil lead-dev (650) et sous seuil de secours (600)	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-senior-net-lead-tech
092	2 développeurs backend .Net confirmé et expert	?	free-work	400-530	? (Châtillon 92)	12 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — TJM très sous seuil minimum	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/2-developpeurs-backend-net-confirme-et-expert
093	Développeur(se) Senior C# .NET – Services Financiers – Strasbourg	Sopra Steria	indeed	? (CDI)	? (Strasbourg 67)	CDI	D	évalué-D	2026-08-02	2026-08-02	Passer — CDI (pas de TJM/freelance) malgré stack C#/.NET compatible, Strasbourg hors Hauts-de-France	issu email Gmail	
094	.NET Developer	Elliott Group (intermédiaire)	collective	?	?	?	C	évalué-C (données très limitées)	2026-08-02	2026-08-02	Postuler si pipeline vide — titre trop générique, obtenir détails avant de s'engager	issu email Gmail	https://www.collective.work/jobs/fr/net-developer-nedr
095	Développeur Senior C# - Liquidité / Trésorerie / Finance	Visian (client final)	collective	?	? (Paris/La Défense)	?	D	évalué-D	2026-08-02	2026-08-02	Passer — expertise finance de marché hors profil (cf. #026, #050)	issu email Gmail	https://www.collective.work/jobs/fr/developpeur-senior-c-liquidite-tresorie-finance-43ak
097	Développeur Fullstack .NET CORE / ANGULAR / ENTITY FRAMEWORK	?	free-work	450-550	? (Saint-Cloud 92)	24 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — TJM sous seuil minimum	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/developpeur-front-end-javascript-node-react-angular-vue/developpeur-fullstack-net-core-angular-entity-framework
098	Développeur .Net Sénior - 10 ans	?	free-work	400-600	? (Châtillon 92)	36 mois	C	évalué-C (possible doublon canal différent, cf. #101)	2026-08-02	2026-08-02	Négocier avant — TJM haut de fourchette tout juste au seuil ; vérifier si même mission que #101 (Suricate IT, Collective) avant de postuler sur ce canal	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/developpeur-net/developpeur-net-senior-10-ans
099	Expert Cloud Azure PaaS – Expérience Dev & IA	?	free-work	650	? (Paris)	12 mois	D	évalué-D	2026-08-02	2026-08-02	Passer — rôle Cloud/IA infra, pas de développement C#/.NET	issu email Gmail (digest)	https://www.free-work.com/fr/tech-it/job-mission/ingenieur-devops-cloud/expert-cloud-azure-paas-experience-dev-ia
